,max_player_load_per_min,rolling_load,stress_score,High IMA
0,55.0,,,55.0
1,31.0,,,31.0
2,24.0,,,24.0
3,23.0,,,23.0
4,23.0,31.2,-8.2,23.0
5,19.0,24.0,-5.0,19.0
6,16.0,21.0,-5.0,16.0
7,20.0,20.2,-0.1999999999999993,20.0
8,21.0,19.8,1.1999999999999993,21.0
9,24.0,20.0,4.0,24.0
10,30.0,22.2,7.800000000000001,30.0
11,14.0,21.8,-7.800000000000001,14.0
12,22.0,22.2,-0.1999999999999993,22.0
13,17.0,21.4,-4.399999999999999,17.0
14,24.0,21.4,2.6000000000000014,24.0
15,14.0,18.2,-4.199999999999999,14.0
16,27.0,20.8,6.199999999999999,27.0
17,41.0,24.6,16.4,41.0
18,23.0,25.8,-2.8000000000000007,23.0
19,18.0,24.6,-6.600000000000001,18.0
20,12.0,24.2,-12.2,12.0
21,18.0,22.4,-4.399999999999999,18.0
22,1.0,14.4,-13.4,1.0
23,29.0,15.6,13.4,29.0
24,12.0,14.4,-2.4000000000000004,12.0
25,13.0,14.6,-1.5999999999999996,13.0
26,18.0,14.6,3.4000000000000004,18.0
27,,,,
28,1087.0,,,1087.0
29,27.0,,,27.0
30,29.0,,,29.0
31,11.0,,,11.0
32,17.0,234.2,-217.2,17.0
33,67.0,30.2,36.8,67.0
34,,,,
35,15.0,,,15.0
36,27.0,,,27.0
37,15.0,,,15.0
38,21.0,,,21.0
39,4.0,16.4,-12.399999999999999,4.0
40,17.0,16.8,0.1999999999999993,17.0
41,43.0,20.0,23.0,43.0
42,17.0,20.4,-3.3999999999999986,17.0
43,21.0,20.4,0.6000000000000014,21.0
44,19.0,23.4,-4.399999999999999,19.0
45,11.0,22.2,-11.2,11.0
46,32.0,20.0,12.0,32.0
47,25.0,21.6,3.3999999999999986,25.0
48,15.0,20.4,-5.399999999999999,15.0
49,,,,
50,44.0,,,44.0
51,25.0,,,25.0
52,26.0,,,26.0
53,14.0,,,14.0
54,12.0,24.2,-12.2,12.0
55,19.0,19.2,-0.1999999999999993,19.0
56,18.0,17.8,0.1999999999999993,18.0
57,27.0,18.0,9.0,27.0
58,29.0,21.0,8.0,29.0
59,26.0,23.8,2.1999999999999993,26.0
60,16.0,23.2,-7.199999999999999,16.0
61,26.0,24.8,1.1999999999999993,26.0
62,23.0,24.0,-1.0,23.0
63,16.0,21.4,-5.399999999999999,16.0
64,17.0,19.6,-2.6000000000000014,17.0
65,23.0,21.0,2.0,23.0
66,19.0,19.6,-0.6000000000000014,19.0
67,20.0,19.0,1.0,20.0
68,18.0,19.4,-1.3999999999999986,18.0
69,22.0,20.4,1.6000000000000014,22.0
70,24.0,20.6,3.3999999999999986,24.0
