,max_player_load_per_min,rolling_load,stress_score,High IMA
0,25.0,,,25.0
1,20.0,,,20.0
2,11.0,,,11.0
3,22.0,,,22.0
4,31.0,21.8,9.2,31.0
5,28.0,22.4,5.600000000000001,28.0
6,14.0,21.2,-7.199999999999999,14.0
7,15.0,22.0,-7.0,15.0
8,10.0,19.6,-9.600000000000001,10.0
9,10.0,15.4,-5.4,10.0
10,13.0,12.4,0.5999999999999996,13.0
11,4.0,10.4,-6.4,4.0
12,0.0,7.4,-7.4,0.0
13,14.0,8.2,5.800000000000001,14.0
14,6.0,7.4,-1.4000000000000004,6.0
15,14.0,7.6,6.4,14.0
16,13.0,9.4,3.5999999999999996,13.0
17,0.0,9.4,-9.4,0.0
18,,,,
19,7.0,,,7.0
20,60.0,,,60.0
21,8.0,,,8.0
22,,,,
23,48.0,,,48.0
24,,,,
25,6.0,,,6.0
26,12.0,,,12.0
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,15.0,,,15.0
36,20.0,,,20.0
37,15.0,,,15.0
38,14.0,,,14.0
39,7.0,14.2,-7.199999999999999,7.0
40,6.0,12.4,-6.4,6.0
41,31.0,14.6,16.4,31.0
42,33.0,18.2,14.8,33.0
43,8.0,17.0,-9.0,8.0
44,12.0,18.0,-6.0,12.0
45,13.0,19.4,-6.399999999999999,13.0
46,18.0,16.8,1.1999999999999993,18.0
47,8.0,11.8,-3.8000000000000007,8.0
48,12.0,12.6,-0.5999999999999996,12.0
49,,,,
50,36.0,,,36.0
51,23.0,,,23.0
52,8.0,,,8.0
53,7.0,,,7.0
54,6.0,16.0,-10.0,6.0
55,5.0,9.8,-4.800000000000001,5.0
56,19.0,9.0,10.0,19.0
57,12.0,9.8,2.1999999999999993,12.0
58,26.0,13.6,12.4,26.0
59,21.0,16.6,4.399999999999999,21.0
60,13.0,18.2,-5.199999999999999,13.0
61,9.0,16.2,-7.199999999999999,9.0
62,8.0,15.4,-7.4,8.0
63,,,,
64,0.0,,,0.0
65,3.0,,,3.0
66,7.0,,,7.0
67,8.0,,,8.0
68,8.0,5.2,2.8,8.0
69,12.0,7.6,4.4,12.0
70,7.0,8.4,-1.4000000000000004,7.0
