,max_player_load_per_min,rolling_load,stress_score,High IMA
0,45.0,,,45.0
1,31.0,,,31.0
2,25.0,,,25.0
3,35.0,,,35.0
4,44.0,36.0,8.0,44.0
5,50.0,37.0,13.0,50.0
6,47.0,40.2,6.799999999999997,47.0
7,43.0,43.8,-0.7999999999999972,43.0
8,23.0,41.4,-18.4,23.0
9,41.0,40.8,0.20000000000000284,41.0
10,81.0,47.0,34.0,81.0
11,28.0,43.2,-15.200000000000003,28.0
12,35.0,41.6,-6.600000000000001,35.0
13,24.0,41.8,-17.799999999999997,24.0
14,14.0,36.4,-22.4,14.0
15,0.0,20.2,-20.2,0.0
16,17.0,18.0,-1.0,17.0
17,50.0,21.0,29.0,50.0
18,49.0,26.0,23.0,49.0
19,115.0,46.2,68.8,115.0
20,22.0,50.6,-28.6,22.0
21,5.0,48.2,-43.2,5.0
22,3.0,38.8,-35.8,3.0
23,20.0,33.0,-13.0,20.0
24,45.0,19.0,26.0,45.0
25,24.0,19.4,4.600000000000001,24.0
26,19.0,22.2,-3.1999999999999993,19.0
27,,,,
28,1.0,,,1.0
29,47.0,,,47.0
30,41.0,,,41.0
31,49.0,,,49.0
32,18.0,31.2,-13.2,18.0
33,20.0,35.0,-15.0,20.0
34,11.0,27.8,-16.8,11.0
35,14.0,22.4,-8.399999999999999,14.0
36,12.0,15.0,-3.0,12.0
37,11.0,13.6,-2.5999999999999996,11.0
38,29.0,15.4,13.6,29.0
39,2.0,13.6,-11.6,2.0
40,38.0,18.4,19.6,38.0
41,52.0,26.4,25.6,52.0
42,34.0,31.0,3.0,34.0
43,31.0,31.4,-0.3999999999999986,31.0
44,16.0,34.2,-18.200000000000003,16.0
45,16.0,29.8,-13.8,16.0
46,21.0,23.6,-2.6000000000000014,21.0
47,10.0,18.8,-8.8,10.0
48,35.0,19.6,15.399999999999999,35.0
49,,,,
50,60.0,,,60.0
51,19.0,,,19.0
52,14.0,,,14.0
53,27.0,,,27.0
54,30.0,30.0,0.0,30.0
55,36.0,25.2,10.8,36.0
56,16.0,24.6,-8.600000000000001,16.0
57,25.0,26.8,-1.8000000000000007,25.0
58,32.0,27.8,4.199999999999999,32.0
59,34.0,28.6,5.399999999999999,34.0
60,26.0,26.6,-0.6000000000000014,26.0
61,18.0,27.0,-9.0,18.0
62,27.0,27.4,-0.3999999999999986,27.0
63,14.0,23.8,-9.8,14.0
64,33.0,23.6,9.399999999999999,33.0
65,38.0,26.0,12.0,38.0
66,25.0,27.4,-2.3999999999999986,25.0
67,20.0,26.0,-6.0,20.0
68,20.0,27.2,-7.199999999999999,20.0
69,32.0,27.0,5.0,32.0
70,31.0,25.6,5.399999999999999,31.0
