,max_player_load_per_min,rolling_load,stress_score,High IMA
0,26.0,,,26.0
1,16.0,,,16.0
2,29.0,,,29.0
3,23.0,,,23.0
4,40.0,26.8,13.2,40.0
5,21.0,25.8,-4.800000000000001,21.0
6,47.0,32.0,15.0,47.0
7,17.0,29.6,-12.600000000000001,17.0
8,18.0,28.6,-10.600000000000001,18.0
9,20.0,24.6,-4.600000000000001,20.0
10,36.0,27.6,8.399999999999999,36.0
11,24.0,23.0,1.0,24.0
12,9.0,21.4,-12.399999999999999,9.0
13,48.0,27.4,20.6,48.0
14,25.0,28.4,-3.3999999999999986,25.0
15,,,,
16,21.0,,,21.0
17,25.0,,,25.0
18,47.0,,,47.0
19,28.0,,,28.0
20,93.0,42.8,50.2,93.0
21,18.0,42.2,-24.200000000000003,18.0
22,1.0,37.4,-36.4,1.0
23,43.0,36.6,6.399999999999999,43.0
24,41.0,39.2,1.7999999999999972,41.0
25,,,,
26,8.0,,,8.0
27,,,,
28,3.0,,,3.0
29,17.0,,,17.0
30,34.0,,,34.0
31,32.0,,,32.0
32,36.0,24.4,11.600000000000001,36.0
33,40.0,31.8,8.2,40.0
34,10.0,30.4,-20.4,10.0
35,19.0,27.4,-8.399999999999999,19.0
36,46.0,30.2,15.8,46.0
37,13.0,25.6,-12.600000000000001,13.0
38,36.0,24.8,11.2,36.0
39,12.0,25.2,-13.2,12.0
40,29.0,27.2,1.8000000000000007,29.0
41,29.0,23.8,5.199999999999999,29.0
42,32.0,27.6,4.399999999999999,32.0
43,27.0,25.8,1.1999999999999993,27.0
44,24.0,28.2,-4.199999999999999,24.0
45,26.0,27.6,-1.6000000000000014,26.0
46,34.0,28.6,5.399999999999999,34.0
47,20.0,26.2,-6.199999999999999,20.0
48,16.0,24.0,-8.0,16.0
49,,,,
50,43.0,,,43.0
51,18.0,,,18.0
52,15.0,,,15.0
53,20.0,,,20.0
54,7.0,20.6,-13.600000000000001,7.0
55,26.0,17.2,8.8,26.0
56,0.0,13.6,-13.6,0.0
57,,,,
58,16.0,,,16.0
59,9.0,,,9.0
60,11.0,,,11.0
61,9.0,,,9.0
62,25.0,14.0,11.0,25.0
63,0.0,10.8,-10.8,0.0
64,10.0,11.0,-1.0,10.0
65,26.0,14.0,12.0,26.0
66,26.0,17.4,8.600000000000001,26.0
67,8.0,14.0,-6.0,8.0
68,12.0,16.4,-4.399999999999999,12.0
69,36.0,21.6,14.399999999999999,36.0
70,25.0,21.4,3.6000000000000014,25.0
