,max_player_load_per_min,rolling_load,stress_score,High IMA
0,43.0,,,43.0
1,54.0,,,54.0
2,30.0,,,30.0
3,31.0,,,31.0
4,36.0,38.8,-2.799999999999997,36.0
5,28.0,35.8,-7.799999999999997,28.0
6,34.0,31.8,2.1999999999999993,34.0
7,23.0,30.4,-7.399999999999999,23.0
8,28.0,29.8,-1.8000000000000007,28.0
9,23.0,27.2,-4.199999999999999,23.0
10,32.0,28.0,4.0,32.0
11,19.0,25.0,-6.0,19.0
12,9.0,22.2,-13.2,9.0
13,27.0,22.0,5.0,27.0
14,29.0,23.2,5.800000000000001,29.0
15,14.0,19.6,-5.600000000000001,14.0
16,25.0,20.8,4.199999999999999,25.0
17,33.0,25.6,7.399999999999999,33.0
18,13.0,22.8,-9.8,13.0
19,25.0,22.0,3.0,25.0
20,50.0,29.2,20.8,50.0
21,12.0,26.6,-14.600000000000001,12.0
22,,,,
23,34.0,,,34.0
24,7.0,,,7.0
25,13.0,,,13.0
26,4.0,,,4.0
27,1.0,11.8,-10.8,1.0
28,,,,
29,21.0,,,21.0
30,14.0,,,14.0
31,21.0,,,21.0
32,10.0,,,10.0
33,17.0,16.6,0.3999999999999986,17.0
34,7.0,13.8,-6.800000000000001,7.0
35,6.0,12.2,-6.199999999999999,6.0
36,52.0,18.4,33.6,52.0
37,16.0,19.6,-3.6000000000000014,16.0
38,5.0,17.2,-12.2,5.0
39,3.0,16.4,-13.399999999999999,3.0
40,10.0,17.2,-7.199999999999999,10.0
41,44.0,15.6,28.4,44.0
42,28.0,18.0,10.0,28.0
43,15.0,20.0,-5.0,15.0
44,24.0,24.2,-0.1999999999999993,24.0
45,12.0,24.6,-12.600000000000001,12.0
46,11.0,18.0,-7.0,11.0
47,24.0,17.2,6.800000000000001,24.0
48,15.0,17.2,-2.1999999999999993,15.0
49,,,,
50,35.0,,,35.0
51,15.0,,,15.0
52,15.0,,,15.0
53,18.0,,,18.0
54,14.0,19.4,-5.399999999999999,14.0
55,22.0,16.8,5.199999999999999,22.0
56,42.0,22.2,19.8,42.0
57,28.0,24.8,3.1999999999999993,28.0
58,26.0,26.4,-0.3999999999999986,26.0
59,26.0,28.8,-2.8000000000000007,26.0
60,13.0,27.0,-14.0,13.0
61,22.0,23.0,-1.0,22.0
62,18.0,21.0,-3.0,18.0
63,11.0,18.0,-7.0,11.0
64,18.0,16.4,1.6000000000000014,18.0
65,21.0,18.0,3.0,21.0
66,24.0,18.4,5.600000000000001,24.0
67,9.0,16.6,-7.600000000000001,9.0
68,7.0,15.8,-8.8,7.0
69,40.0,20.2,19.8,40.0
70,22.0,20.4,1.6000000000000014,22.0
