,max_player_load_per_min,rolling_load,stress_score,High IMA
0,34.0,,,34.0
1,26.0,,,26.0
2,51.0,,,51.0
3,32.0,,,32.0
4,34.0,35.4,-1.3999999999999986,34.0
5,29.0,34.4,-5.399999999999999,29.0
6,21.0,33.4,-12.399999999999999,21.0
7,29.0,29.0,0.0,29.0
8,34.0,29.4,4.600000000000001,34.0
9,32.0,29.0,3.0,32.0
10,42.0,31.6,10.399999999999999,42.0
11,13.0,30.0,-17.0,13.0
12,9.0,26.0,-17.0,9.0
13,21.0,23.4,-2.3999999999999986,21.0
14,29.0,22.8,6.199999999999999,29.0
15,20.0,18.4,1.6000000000000014,20.0
16,15.0,18.8,-3.8000000000000007,15.0
17,30.0,23.0,7.0,30.0
18,44.0,27.6,16.4,44.0
19,27.0,27.2,-0.1999999999999993,27.0
20,17.0,26.6,-9.600000000000001,17.0
21,29.0,29.4,-0.3999999999999986,29.0
22,0.0,23.4,-23.4,0.0
23,21.0,18.8,2.1999999999999993,21.0
24,11.0,15.6,-4.6,11.0
25,20.0,16.2,3.8000000000000007,20.0
26,21.0,14.6,6.4,21.0
27,,,,
28,0.0,,,0.0
29,282.0,,,282.0
30,39.0,,,39.0
31,18.0,,,18.0
32,19.0,71.6,-52.599999999999994,19.0
33,13.0,74.2,-61.2,13.0
34,118.0,41.4,76.6,118.0
35,14.0,36.4,-22.4,14.0
36,9.0,34.6,-25.6,9.0
37,9.0,32.6,-23.6,9.0
38,25.0,35.0,-10.0,25.0
39,3.0,12.0,-9.0,3.0
40,33.0,15.8,17.2,33.0
41,30.0,20.0,10.0,30.0
42,52.0,28.6,23.4,52.0
43,39.0,31.4,7.600000000000001,39.0
44,35.0,37.8,-2.799999999999997,35.0
45,,,,
46,27.0,,,27.0
47,47.0,,,47.0
48,46.0,,,46.0
49,,,,
50,102.0,,,102.0
51,27.0,,,27.0
52,17.0,,,17.0
53,48.0,,,48.0
54,13.0,41.4,-28.4,13.0
55,43.0,29.6,13.399999999999999,43.0
56,41.0,32.4,8.600000000000001,41.0
57,81.0,45.2,35.8,81.0
58,28.0,41.2,-13.200000000000003,28.0
59,26.0,43.8,-17.799999999999997,26.0
60,10.0,37.2,-27.200000000000003,10.0
61,25.0,34.0,-9.0,25.0
62,32.0,24.2,7.800000000000001,32.0
63,7.0,20.0,-13.0,7.0
64,32.0,21.2,10.8,32.0
65,43.0,27.8,15.2,43.0
66,33.0,29.4,3.6000000000000014,33.0
67,19.0,26.8,-7.800000000000001,19.0
68,28.0,31.0,-3.0,28.0
69,68.0,38.2,29.799999999999997,68.0
70,45.0,38.6,6.399999999999999,45.0
