,max_player_load_per_min,rolling_load,stress_score,High IMA
0,17.0,,,17.0
1,40.0,,,40.0
2,25.0,,,25.0
3,27.0,,,27.0
4,30.0,27.8,2.1999999999999993,30.0
5,39.0,32.2,6.799999999999997,39.0
6,49.0,34.0,15.0,49.0
7,36.0,36.2,-0.20000000000000284,36.0
8,22.0,35.2,-13.200000000000003,22.0
9,24.0,34.0,-10.0,24.0
10,39.0,34.0,5.0,39.0
11,15.0,27.2,-12.2,15.0
12,14.0,22.8,-8.8,14.0
13,19.0,22.2,-3.1999999999999993,19.0
14,22.0,21.8,0.1999999999999993,22.0
15,23.0,18.6,4.399999999999999,23.0
16,24.0,20.4,3.6000000000000014,24.0
17,40.0,25.6,14.399999999999999,40.0
18,28.0,27.4,0.6000000000000014,28.0
19,29.0,28.8,0.1999999999999993,29.0
20,15.0,27.2,-12.2,15.0
21,25.0,27.4,-2.3999999999999986,25.0
22,1.0,19.6,-18.6,1.0
23,40.0,22.0,18.0,40.0
24,19.0,20.0,-1.0,19.0
25,23.0,21.6,1.3999999999999986,23.0
26,25.0,21.6,3.3999999999999986,25.0
27,1.0,21.6,-20.6,1.0
28,,,,
29,46.0,,,46.0
30,40.0,,,40.0
31,29.0,,,29.0
32,24.0,,,24.0
33,37.0,35.2,1.7999999999999972,37.0
34,19.0,29.8,-10.8,19.0
35,23.0,26.4,-3.3999999999999986,23.0
36,10.0,22.6,-12.600000000000001,10.0
37,9.0,19.6,-10.600000000000001,9.0
38,33.0,18.8,14.2,33.0
39,1.0,15.2,-14.2,1.0
40,20.0,14.6,5.4,20.0
41,70.0,26.6,43.4,70.0
42,34.0,31.6,2.3999999999999986,34.0
43,22.0,29.4,-7.399999999999999,22.0
44,29.0,35.0,-6.0,29.0
45,5.0,32.0,-27.0,5.0
46,11.0,20.2,-9.2,11.0
47,0.0,13.4,-13.4,0.0
48,23.0,13.6,9.4,23.0
49,,,,
50,48.0,,,48.0
51,24.0,,,24.0
52,12.0,,,12.0
53,23.0,,,23.0
54,15.0,24.4,-9.399999999999999,15.0
55,26.0,20.0,6.0,26.0
56,14.0,18.0,-4.0,14.0
57,33.0,22.2,10.8,33.0
58,21.0,21.8,-0.8000000000000007,21.0
59,,,,
60,16.0,,,16.0
61,34.0,,,34.0
62,29.0,,,29.0
63,15.0,,,15.0
64,18.0,22.4,-4.399999999999999,18.0
65,33.0,25.8,7.199999999999999,33.0
66,29.0,24.8,4.199999999999999,29.0
67,16.0,22.2,-6.199999999999999,16.0
68,13.0,21.8,-8.8,13.0
69,35.0,25.2,9.8,35.0
70,34.0,25.4,8.600000000000001,34.0
