,max_player_load_per_min,rolling_load,stress_score,High IMA
0,69.0,,,69.0
1,41.0,,,41.0
2,42.0,,,42.0
3,51.0,,,51.0
4,34.0,47.4,-13.399999999999999,34.0
5,62.0,46.0,16.0,62.0
6,60.0,49.8,10.200000000000003,60.0
7,94.0,60.2,33.8,94.0
8,27.0,55.4,-28.4,27.0
9,30.0,54.6,-24.6,30.0
10,138.0,69.8,68.2,138.0
11,19.0,61.6,-42.6,19.0
12,19.0,46.6,-27.6,19.0
13,18.0,44.8,-26.799999999999997,18.0
14,18.0,42.4,-24.4,18.0
15,20.0,18.8,1.1999999999999993,20.0
16,23.0,19.6,3.3999999999999986,23.0
17,64.0,28.6,35.4,64.0
18,37.0,32.4,4.600000000000001,37.0
19,28.0,34.4,-6.399999999999999,28.0
20,62.0,42.8,19.200000000000003,62.0
21,23.0,42.8,-19.799999999999997,23.0
22,,,,
23,35.0,,,35.0
24,41.0,,,41.0
25,63.0,,,63.0
26,25.0,,,25.0
27,,,,
28,0.0,,,0.0
29,50.0,,,50.0
30,39.0,,,39.0
31,81.0,,,81.0
32,20.0,38.0,-18.0,20.0
33,26.0,43.2,-17.200000000000003,26.0
34,22.0,37.6,-15.600000000000001,22.0
35,20.0,33.8,-13.799999999999997,20.0
36,72.0,32.0,40.0,72.0
37,31.0,34.2,-3.200000000000003,31.0
38,0.0,29.0,-29.0,0.0
39,0.0,24.6,-24.6,0.0
40,27.0,26.0,1.0,27.0
41,25.0,16.6,8.399999999999999,25.0
42,60.0,22.4,37.6,60.0
43,34.0,29.2,4.800000000000001,34.0
44,39.0,37.0,2.0,39.0
45,28.0,37.2,-9.200000000000003,28.0
46,34.0,39.0,-5.0,34.0
47,9.0,28.8,-19.8,9.0
48,15.0,25.0,-10.0,15.0
49,,,,
50,65.0,,,65.0
51,4.0,,,4.0
52,34.0,,,34.0
53,33.0,,,33.0
54,35.0,34.2,0.7999999999999972,35.0
55,37.0,28.6,8.399999999999999,37.0
56,24.0,32.6,-8.600000000000001,24.0
57,36.0,33.0,3.0,36.0
58,51.0,36.6,14.399999999999999,51.0
59,37.0,37.0,0.0,37.0
60,29.0,35.4,-6.399999999999999,29.0
61,81.0,46.8,34.2,81.0
62,43.0,48.2,-5.200000000000003,43.0
63,14.0,40.8,-26.799999999999997,14.0
64,27.0,38.8,-11.799999999999997,27.0
65,49.0,42.8,6.200000000000003,49.0
66,39.0,34.4,4.600000000000001,39.0
67,40.0,33.8,6.200000000000003,40.0
68,20.0,35.0,-15.0,20.0
69,70.0,43.6,26.4,70.0
70,40.0,41.8,-1.7999999999999972,40.0
