,max_player_load_per_min,rolling_load,stress_score,High IMA
0,33.0,,,33.0
1,36.0,,,36.0
2,31.0,,,31.0
3,43.0,,,43.0
4,29.0,34.4,-5.399999999999999,29.0
5,17.0,31.2,-14.2,17.0
6,52.0,34.4,17.6,52.0
7,34.0,35.0,-1.0,34.0
8,14.0,29.2,-15.2,14.0
9,32.0,29.8,2.1999999999999993,32.0
10,50.0,36.4,13.600000000000001,50.0
11,16.0,29.2,-13.2,16.0
12,15.0,25.4,-10.399999999999999,15.0
13,33.0,29.2,3.8000000000000007,33.0
14,11.0,25.0,-14.0,11.0
15,9.0,16.8,-7.800000000000001,9.0
16,22.0,18.0,4.0,22.0
17,59.0,26.8,32.2,59.0
18,62.0,32.6,29.4,62.0
19,22.0,34.8,-12.799999999999997,22.0
20,49.0,42.8,6.200000000000003,49.0
21,11.0,40.6,-29.6,11.0
22,10.0,30.8,-20.8,10.0
23,27.0,23.8,3.1999999999999993,27.0
24,26.0,24.6,1.3999999999999986,26.0
25,36.0,22.0,14.0,36.0
26,15.0,22.8,-7.800000000000001,15.0
27,,,,
28,3720.0,,,3720.0
29,42.0,,,42.0
30,45.0,,,45.0
31,64.0,,,64.0
32,17.0,777.6,-760.6,17.0
33,33.0,40.2,-7.200000000000003,33.0
34,20.0,35.8,-15.799999999999997,20.0
35,11.0,29.0,-18.0,11.0
36,66.0,29.4,36.6,66.0
37,17.0,29.4,-12.399999999999999,17.0
38,12.0,25.2,-13.2,12.0
39,2.0,21.6,-19.6,2.0
40,10.0,21.4,-11.399999999999999,10.0
41,33.0,14.8,18.2,33.0
42,24.0,16.2,7.800000000000001,24.0
43,24.0,18.6,5.399999999999999,24.0
44,28.0,23.8,4.199999999999999,28.0
45,31.0,28.0,3.0,31.0
46,31.0,27.6,3.3999999999999986,31.0
47,19.0,26.6,-7.600000000000001,19.0
48,9.0,23.6,-14.600000000000001,9.0
49,2219.0,461.8,1757.2,2219.0
50,71.0,469.8,-398.8,71.0
51,31.0,469.8,-438.8,31.0
52,15.0,469.0,-454.0,15.0
53,22.0,471.6,-449.6,22.0
54,16.0,31.0,-15.0,16.0
55,20.0,20.8,-0.8000000000000007,20.0
56,30.0,20.6,9.399999999999999,30.0
57,24.0,22.4,1.6000000000000014,24.0
58,48.0,27.6,20.4,48.0
59,27.0,29.8,-2.8000000000000007,27.0
60,,,,
61,22.0,,,22.0
62,16.0,,,16.0
63,12.0,,,12.0
64,20.0,,,20.0
65,13.0,16.6,-3.6000000000000014,13.0
66,20.0,16.2,3.8000000000000007,20.0
67,19.0,16.8,2.1999999999999993,19.0
68,20.0,18.4,1.6000000000000014,20.0
69,66.0,27.6,38.4,66.0
70,20.0,29.0,-9.0,20.0
