,max_player_load_per_min,rolling_load,stress_score,High IMA
0,30.0,,,30.0
1,36.0,,,36.0
2,29.0,,,29.0
3,19.0,,,19.0
4,12.0,25.2,-13.2,12.0
5,22.0,23.6,-1.6000000000000014,22.0
6,16.0,19.6,-3.6000000000000014,16.0
7,10.0,15.8,-5.800000000000001,10.0
8,28.0,17.6,10.399999999999999,28.0
9,21.0,19.4,1.6000000000000014,21.0
10,44.0,23.8,20.2,44.0
11,5.0,21.6,-16.6,5.0
12,10.0,21.6,-11.600000000000001,10.0
13,5.0,17.0,-12.0,5.0
14,16.0,16.0,0.0,16.0
15,10.0,9.2,0.8000000000000007,10.0
16,28.0,13.8,14.2,28.0
17,28.0,17.4,10.600000000000001,28.0
18,18.0,20.0,-2.0,18.0
19,15.0,19.8,-4.800000000000001,15.0
20,9.0,19.6,-10.600000000000001,9.0
21,19.0,17.8,1.1999999999999993,19.0
22,,,,
23,13.0,,,13.0
24,17.0,,,17.0
25,9.0,,,9.0
26,14.0,,,14.0
27,2.0,11.0,-9.0,2.0
28,,,,
29,26.0,,,26.0
30,31.0,,,31.0
31,22.0,,,22.0
32,20.0,,,20.0
33,22.0,24.2,-2.1999999999999993,22.0
34,22.0,23.4,-1.3999999999999986,22.0
35,11.0,19.4,-8.399999999999999,11.0
36,13.0,17.6,-4.600000000000001,13.0
37,12.0,16.0,-4.0,12.0
38,16.0,14.8,1.1999999999999993,16.0
39,1.0,10.6,-9.6,1.0
40,15.0,11.4,3.5999999999999996,15.0
41,45.0,17.8,27.2,45.0
42,29.0,21.2,7.800000000000001,29.0
43,16.0,21.2,-5.199999999999999,16.0
44,19.0,24.8,-5.800000000000001,19.0
45,18.0,25.4,-7.399999999999999,18.0
46,15.0,19.4,-4.399999999999999,15.0
47,8.0,15.2,-7.199999999999999,8.0
48,15.0,15.0,0.0,15.0
49,1.0,11.4,-10.4,1.0
50,30.0,13.8,16.2,30.0
51,22.0,15.2,6.800000000000001,22.0
52,6.0,14.8,-8.8,6.0
53,11.0,14.0,-3.0,11.0
54,12.0,16.2,-4.199999999999999,12.0
55,18.0,13.8,4.199999999999999,18.0
56,10.0,11.4,-1.4000000000000004,10.0
57,13.0,12.8,0.1999999999999993,13.0
58,16.0,13.8,2.1999999999999993,16.0
59,,,,
60,16.0,,,16.0
61,9.0,,,9.0
62,10.0,,,10.0
63,15.0,,,15.0
64,16.0,13.2,2.8000000000000007,16.0
65,9.0,11.8,-2.8000000000000007,9.0
66,19.0,13.8,5.199999999999999,19.0
67,37.0,19.2,17.8,37.0
68,13.0,18.8,-5.800000000000001,13.0
69,195.0,54.6,140.4,195.0
70,12.0,55.2,-43.2,12.0
