,max_player_load_per_min,rolling_load,stress_score,High IMA
0,41.0,,,41.0
1,38.0,,,38.0
2,37.0,,,37.0
3,26.0,,,26.0
4,37.0,35.8,1.2000000000000028,37.0
5,23.0,32.2,-9.200000000000003,23.0
6,25.0,29.6,-4.600000000000001,25.0
7,55.0,33.2,21.799999999999997,55.0
8,25.0,33.0,-8.0,25.0
9,43.0,34.2,8.799999999999997,43.0
10,36.0,36.8,-0.7999999999999972,36.0
11,19.0,35.6,-16.6,19.0
12,20.0,28.6,-8.600000000000001,20.0
13,11.0,25.8,-14.8,11.0
14,15.0,20.2,-5.199999999999999,15.0
15,8.0,14.6,-6.6,8.0
16,23.0,15.4,7.6,23.0
17,24.0,16.2,7.800000000000001,24.0
18,24.0,18.8,5.199999999999999,24.0
19,17.0,19.2,-2.1999999999999993,17.0
20,38.0,25.2,12.8,38.0
21,21.0,24.8,-3.8000000000000007,21.0
22,2.0,20.4,-18.4,2.0
23,20.0,19.6,0.3999999999999986,20.0
24,13.0,18.8,-5.800000000000001,13.0
25,6.0,12.4,-6.4,6.0
26,16.0,11.4,4.6,16.0
27,,,,
28,,,,
29,23.0,,,23.0
30,38.0,,,38.0
31,35.0,,,35.0
32,15.0,,,15.0
33,11.0,24.4,-13.399999999999999,11.0
34,16.0,23.0,-7.0,16.0
35,20.0,19.4,0.6000000000000014,20.0
36,12.0,14.8,-2.8000000000000007,12.0
37,8.0,13.4,-5.4,8.0
38,20.0,15.2,4.800000000000001,20.0
39,1.0,12.2,-11.2,1.0
40,9.0,10.0,-1.0,9.0
41,53.0,18.2,34.8,53.0
42,22.0,21.0,1.0,22.0
43,20.0,21.0,-1.0,20.0
44,29.0,26.6,2.3999999999999986,29.0
45,15.0,27.8,-12.8,15.0
46,18.0,20.8,-2.8000000000000007,18.0
47,13.0,19.0,-6.0,13.0
48,24.0,19.8,4.199999999999999,24.0
49,,,,
50,58.0,,,58.0
51,13.0,,,13.0
52,10.0,,,10.0
53,16.0,,,16.0
54,9.0,21.2,-12.2,9.0
55,14.0,12.4,1.5999999999999996,14.0
56,14.0,12.6,1.4000000000000004,14.0
57,29.0,16.4,12.600000000000001,29.0
58,56.0,24.4,31.6,56.0
59,30.0,28.6,1.3999999999999986,30.0
60,16.0,29.0,-13.0,16.0
61,22.0,30.6,-8.600000000000001,22.0
62,18.0,28.4,-10.399999999999999,18.0
63,8.0,18.8,-10.8,8.0
64,18.0,16.4,1.6000000000000014,18.0
65,22.0,17.6,4.399999999999999,22.0
66,18.0,16.8,1.1999999999999993,18.0
67,13.0,15.8,-2.8000000000000007,13.0
68,22.0,18.6,3.3999999999999986,22.0
69,27.0,20.4,6.600000000000001,27.0
70,26.0,21.2,4.800000000000001,26.0
