,max_player_load_per_min,rolling_load,stress_score,High IMA
0,82.0,,,82.0
1,81.0,,,81.0
2,32.0,,,32.0
3,,,,
4,42.0,,,42.0
5,66.0,,,66.0
6,42.0,,,42.0
7,61.0,,,61.0
8,42.0,50.6,-8.600000000000001,42.0
9,38.0,49.8,-11.799999999999997,38.0
10,85.0,53.6,31.4,85.0
11,24.0,50.0,-26.0,24.0
12,23.0,42.4,-19.4,23.0
13,28.0,39.6,-11.600000000000001,28.0
14,35.0,39.0,-4.0,35.0
15,36.0,29.2,6.800000000000001,36.0
16,21.0,28.6,-7.600000000000001,21.0
17,54.0,34.8,19.200000000000003,54.0
18,47.0,38.6,8.399999999999999,47.0
19,42.0,40.0,2.0,42.0
20,43.0,41.4,1.6000000000000014,43.0
21,39.0,45.0,-6.0,39.0
22,1.0,34.4,-33.4,1.0
23,63.0,37.6,25.4,63.0
24,49.0,39.0,10.0,49.0
25,30.0,36.4,-6.399999999999999,30.0
26,38.0,36.2,1.7999999999999972,38.0
27,,,,
28,1186.0,,,1186.0
29,68.0,,,68.0
30,67.0,,,67.0
31,48.0,,,48.0
32,,,,
33,,,,
34,,,,
35,13.0,,,13.0
36,70.0,,,70.0
37,25.0,,,25.0
38,52.0,,,52.0
39,5.0,33.0,-28.0,5.0
40,57.0,41.8,15.200000000000003,57.0
41,88.0,45.4,42.6,88.0
42,38.0,48.0,-10.0,38.0
43,49.0,47.4,1.6000000000000014,49.0
44,35.0,53.4,-18.4,35.0
45,55.0,53.0,2.0,55.0
46,54.0,46.2,7.799999999999997,54.0
47,44.0,47.4,-3.3999999999999986,44.0
48,49.0,47.4,1.6000000000000014,49.0
49,,,,
50,58.0,,,58.0
51,18.0,,,18.0
52,31.0,,,31.0
53,52.0,,,52.0
54,16.0,35.0,-19.0,16.0
55,62.0,35.8,26.200000000000003,62.0
56,15.0,35.2,-20.200000000000003,15.0
57,29.0,34.8,-5.799999999999997,29.0
58,56.0,35.6,20.4,56.0
59,28.0,38.0,-10.0,28.0
60,20.0,29.6,-9.600000000000001,20.0
61,35.0,33.6,1.3999999999999986,35.0
62,51.0,38.0,13.0,51.0
63,28.0,32.4,-4.399999999999999,28.0
64,32.0,33.2,-1.2000000000000028,32.0
65,51.0,39.4,11.600000000000001,51.0
66,41.0,40.6,0.3999999999999986,41.0
67,31.0,36.6,-5.600000000000001,31.0
68,20.0,35.0,-15.0,20.0
69,49.0,38.4,10.600000000000001,49.0
70,57.0,39.6,17.4,57.0
