,max_player_load_per_min,rolling_load,stress_score,High IMA
0,56.0,,,56.0
1,24.0,,,24.0
2,42.0,,,42.0
3,28.0,,,28.0
4,19.0,33.8,-14.799999999999997,19.0
5,72.0,37.0,35.0,72.0
6,32.0,38.6,-6.600000000000001,32.0
7,26.0,35.4,-9.399999999999999,26.0
8,15.0,32.8,-17.799999999999997,15.0
9,23.0,33.6,-10.600000000000001,23.0
10,58.0,30.8,27.2,58.0
11,27.0,29.8,-2.8000000000000007,27.0
12,9.0,26.4,-17.4,9.0
13,,,,
14,17.0,,,17.0
15,9.0,,,9.0
16,21.0,,,21.0
17,25.0,,,25.0
18,28.0,20.0,8.0,28.0
19,11.0,18.8,-7.800000000000001,11.0
20,23.0,21.6,1.3999999999999986,23.0
21,9.0,19.2,-10.2,9.0
22,,,,
23,28.0,,,28.0
24,23.0,,,23.0
25,30.0,,,30.0
26,16.0,,,16.0
27,0.0,19.4,-19.4,0.0
28,,,,
29,48.0,,,48.0
30,53.0,,,53.0
31,37.0,,,37.0
32,8.0,,,8.0
33,58.0,40.8,17.200000000000003,58.0
34,16.0,34.4,-18.4,16.0
35,16.0,27.0,-11.0,16.0
36,26.0,24.8,1.1999999999999993,26.0
37,21.0,27.4,-6.399999999999999,21.0
38,15.0,18.8,-3.8000000000000007,15.0
39,3.0,16.2,-13.2,3.0
40,11.0,15.2,-4.199999999999999,11.0
41,44.0,18.8,25.2,44.0
42,23.0,19.2,3.8000000000000007,23.0
43,38.0,23.8,14.2,38.0
44,19.0,27.0,-8.0,19.0
45,20.0,28.8,-8.8,20.0
46,26.0,25.2,0.8000000000000007,26.0
47,21.0,24.8,-3.8000000000000007,21.0
48,17.0,20.6,-3.6000000000000014,17.0
49,,,,
50,89.0,,,89.0
51,23.0,,,23.0
52,15.0,,,15.0
53,20.0,,,20.0
54,15.0,32.4,-17.4,15.0
55,28.0,20.2,7.800000000000001,28.0
56,61.0,27.8,33.2,61.0
57,55.0,35.8,19.200000000000003,55.0
58,58.0,43.4,14.600000000000001,58.0
59,,,,
60,27.0,,,27.0
61,43.0,,,43.0
62,8.0,,,8.0
63,10.0,,,10.0
64,28.0,23.2,4.800000000000001,28.0
65,12.0,20.2,-8.2,12.0
66,1.0,11.8,-10.8,1.0
67,36.0,17.4,18.6,36.0
68,,,,
69,42.0,,,42.0
70,15.0,,,15.0
